Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,6773      
Trigger,0         
Start time,2021-04-23,16:30:34
End time,2021-04-23,17:27:01
Trigger time,2021-04-23,16:30:34
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,Alarm1-10,AlarmOut
        79,2021/04/23 16:31:13,  0,+  52.3,+  18.2,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        80,2021/04/23 16:31:13,500,+  51.6,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        81,2021/04/23 16:31:14,  0,+  51.0,+  18.3,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        82,2021/04/23 16:31:14,500,+  50.4,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        83,2021/04/23 16:31:15,  0,+  49.9,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        84,2021/04/23 16:31:15,500,+  49.3,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        85,2021/04/23 16:31:16,  0,+  48.9,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        86,2021/04/23 16:31:16,500,+  48.2,+  18.4,+  18.7,+  18.4,LLLLLLLLLL,LLLL
        87,2021/04/23 16:31:17,  0,+  50.4,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        88,2021/04/23 16:31:17,500,+  51.9,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        89,2021/04/23 16:31:18,  0,+  53.2,+  18.2,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        90,2021/04/23 16:31:18,500,+  54.4,+  18.2,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        91,2021/04/23 16:31:19,  0,+  55.1,+  18.1,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        92,2021/04/23 16:31:19,500,+  53.7,+  18.2,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        93,2021/04/23 16:31:20,  0,+  52.7,+  18.0,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        94,2021/04/23 16:31:20,500,+  52.0,+  18.1,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        95,2021/04/23 16:31:21,  0,+  51.4,+  18.0,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        96,2021/04/23 16:31:21,500,+  51.0,+  18.2,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        97,2021/04/23 16:31:22,  0,+  50.4,+  18.2,+  18.6,+  18.5,LLLLLLLLLL,LLLL
        98,2021/04/23 16:31:22,500,+  50.0,+  18.3,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        99,2021/04/23 16:31:23,  0,+  49.6,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       100,2021/04/23 16:31:23,500,+  49.1,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       101,2021/04/23 16:31:24,  0,+  48.7,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       102,2021/04/23 16:31:24,500,+  49.9,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       103,2021/04/23 16:31:25,  0,+  51.8,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       104,2021/04/23 16:31:25,500,+  53.4,+  18.3,+  18.7,+  18.4,LLLLLLLLLL,LLLL
       105,2021/04/23 16:31:26,  0,+  54.8,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       106,2021/04/23 16:31:26,500,+  55.4,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       107,2021/04/23 16:31:27,  0,+  54.0,+  18.2,+  18.5,+  18.3,LLLLLLLLLL,LLLL
       108,2021/04/23 16:31:27,500,+  53.1,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       109,2021/04/23 16:31:28,  0,+  52.5,+  18.3,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       110,2021/04/23 16:31:28,500,+  52.0,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       111,2021/04/23 16:31:29,  0,+  51.5,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       112,2021/04/23 16:31:29,500,+  51.0,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       113,2021/04/23 16:31:30,  0,+  50.6,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       114,2021/04/23 16:31:30,500,+  50.2,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       115,2021/04/23 16:31:31,  0,+  49.8,+  18.3,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       116,2021/04/23 16:31:31,500,+  49.5,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       117,2021/04/23 16:31:32,  0,+  49.0,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       118,2021/04/23 16:31:32,500,+  48.6,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       119,2021/04/23 16:31:33,  0,+  48.2,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       120,2021/04/23 16:31:33,500,+  43.2,+  18.4,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       121,2021/04/23 16:31:34,  0,+  50.4,+  18.6,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       122,2021/04/23 16:31:34,500,+  52.0,+  18.3,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       123,2021/04/23 16:31:35,  0,+  53.5,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       124,2021/04/23 16:31:35,500,+  54.8,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       125,2021/04/23 16:31:36,  0,+  56.2,+  18.2,+  18.5,+  18.3,LLLLLLLLLL,LLLL
       126,2021/04/23 16:31:36,500,+  54.7,+  18.2,+  18.5,+  18.3,LLLLLLLLLL,LLLL
       127,2021/04/23 16:31:37,  0,+  53.7,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       128,2021/04/23 16:31:37,500,+  53.1,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       129,2021/04/23 16:31:38,  0,+  52.7,+  18.2,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       130,2021/04/23 16:31:38,500,+  52.2,+  18.3,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       131,2021/04/23 16:31:39,  0,+  51.7,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       132,2021/04/23 16:31:39,500,+  51.3,+  18.3,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       133,2021/04/23 16:31:40,  0,+  51.0,+  18.3,+  18.7,+  18.4,LLLLLLLLLL,LLLL
       134,2021/04/23 16:31:40,500,+  50.6,+  18.3,+  18.7,+  18.4,LLLLLLLLLL,LLLL
       135,2021/04/23 16:31:41,  0,+  50.2,+  18.3,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       136,2021/04/23 16:31:41,500,+  49.9,+  18.2,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       137,2021/04/23 16:31:42,  0,+  49.5,+  18.2,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       138,2021/04/23 16:31:42,500,+  49.2,+  18.3,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       139,2021/04/23 16:31:43,  0,+  49.9,+  18.3,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       140,2021/04/23 16:31:43,500,+  52.4,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       141,2021/04/23 16:31:44,  0,+  53.9,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       142,2021/04/23 16:31:44,500,+  55.4,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       143,2021/04/23 16:31:45,  0,+  54.9,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       144,2021/04/23 16:31:45,500,+  53.9,+  18.3,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       145,2021/04/23 16:31:46,  0,+  53.1,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       146,2021/04/23 16:31:46,500,+  52.6,+  18.4,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       147,2021/04/23 16:31:47,  0,+  52.1,+  18.4,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       148,2021/04/23 16:31:47,500,+  51.7,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       149,2021/04/23 16:31:48,  0,+  51.3,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       150,2021/04/23 16:31:48,500,+  51.0,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       151,2021/04/23 16:31:49,  0,+  50.6,+  18.3,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       152,2021/04/23 16:31:49,500,+  50.2,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       153,2021/04/23 16:31:50,  0,+  49.9,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       154,2021/04/23 16:31:50,500,+  49.5,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       155,2021/04/23 16:31:51,  0,+  49.3,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       156,2021/04/23 16:31:51,500,+  48.9,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       157,2021/04/23 16:31:52,  0,+  49.2,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       158,2021/04/23 16:31:52,500,+  50.9,+  18.4,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       159,2021/04/23 16:31:53,  0,+  52.8,+  18.4,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       160,2021/04/23 16:31:53,500,+  54.3,+  18.3,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       161,2021/04/23 16:31:54,  0,+  53.3,+  18.1,+  18.7,+  18.4,LLLLLLLLLL,LLLL
       162,2021/04/23 16:31:54,500,+  52.4,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       163,2021/04/23 16:31:55,  0,+  51.7,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       164,2021/04/23 16:31:55,500,+  51.2,+  18.5,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       165,2021/04/23 16:31:56,  0,+  50.8,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       166,2021/04/23 16:31:56,500,+  50.5,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       167,2021/04/23 16:31:57,  0,+  50.1,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       168,2021/04/23 16:31:57,500,+  49.8,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       169,2021/04/23 16:31:58,  0,+  49.5,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       170,2021/04/23 16:31:58,500,+  49.3,+  18.6,+  18.7,+  18.6,LLLLLLLLLL,LLLL
       171,2021/04/23 16:31:59,  0,+  48.9,+  18.7,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       172,2021/04/23 16:31:59,500,+  48.7,+  18.6,+  18.7,+  18.6,LLLLLLLLLL,LLLL
       173,2021/04/23 16:32:00,  0,+  48.2,+  18.7,+  18.8,+  18.5,LLLLLLLLLL,LLLL
       174,2021/04/23 16:32:00,500,+  48.0,+  18.7,+  18.8,+  18.6,LLLLLLLLLL,LLLL
       175,2021/04/23 16:32:01,  0,+  49.6,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       176,2021/04/23 16:32:01,500,+  51.7,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       177,2021/04/23 16:32:02,  0,+  53.4,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       178,2021/04/23 16:32:02,500,+  29.8,+  18.5,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       179,2021/04/23 16:32:03,  0,+  53.8,+  18.6,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       180,2021/04/23 16:32:03,500,+  53.0,+  18.5,+  18.7,+  18.4,LLLLLLLLLL,LLLL
       181,2021/04/23 16:32:04,  0,+  52.4,+  18.5,+  18.7,+  18.4,LLLLLLLLLL,LLLL
       182,2021/04/23 16:32:04,500,+  51.9,+  18.5,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       183,2021/04/23 16:32:05,  0,+  51.6,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       184,2021/04/23 16:32:05,500,+  51.1,+  18.5,+  18.7,+  18.6,LLLLLLLLLL,LLLL
       185,2021/04/23 16:32:06,  0,+  50.8,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       186,2021/04/23 16:32:06,500,+  50.5,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       187,2021/04/23 16:32:07,  0,+  50.2,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       188,2021/04/23 16:32:07,500,+  49.9,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       189,2021/04/23 16:32:08,  0,+  49.6,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       190,2021/04/23 16:32:08,500,+  49.3,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       191,2021/04/23 16:32:09,  0,+  48.9,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       192,2021/04/23 16:32:09,500,+  48.7,+  18.5,+  18.7,+  18.4,LLLLLLLLLL,LLLL
       193,2021/04/23 16:32:10,  0,+  48.4,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       194,2021/04/23 16:32:10,500,+  49.0,+  18.7,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       195,2021/04/23 16:32:11,  0,+  51.6,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       196,2021/04/23 16:32:11,500,+  53.3,+  18.5,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       197,2021/04/23 16:32:12,  0,+  54.8,+  18.5,+  18.4,+  18.5,LLLLLLLLLL,LLLL
       198,2021/04/23 16:32:12,500,+  54.3,+  18.5,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       199,2021/04/23 16:32:13,  0,+  53.4,+  18.5,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       200,2021/04/23 16:32:13,500,+  52.7,+  18.5,+  18.6,+  18.5,LLLLLLLLLL,LLLL
       201,2021/04/23 16:32:14,  0,+  52.2,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       202,2021/04/23 16:32:14,500,+  51.8,+  18.6,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       203,2021/04/23 16:32:15,  0,+  51.5,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       204,2021/04/23 16:32:15,500,+  51.1,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       205,2021/04/23 16:32:16,  0,+  50.8,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       206,2021/04/23 16:32:16,500,+  50.5,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       207,2021/04/23 16:32:17,  0,+  50.2,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       208,2021/04/23 16:32:17,500,+  49.9,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       209,2021/04/23 16:32:18,  0,+  49.6,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       210,2021/04/23 16:32:18,500,+  49.3,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       211,2021/04/23 16:32:19,  0,+  49.0,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       212,2021/04/23 16:32:19,500,+  48.7,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       213,2021/04/23 16:32:20,  0,+  48.5,+  18.5,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       214,2021/04/23 16:32:20,500,+  48.4,+  18.4,+  18.7,+  18.0,LLLLLLLLLL,LLLL
       215,2021/04/23 16:32:21,  0,+  50.7,+  18.6,+  18.7,+  18.6,LLLLLLLLLL,LLLL
       216,2021/04/23 16:32:21,500,+  52.4,+  18.4,+  18.7,+  18.5,LLLLLLLLLL,LLLL
       217,2021/04/23 16:32:22,  0,+  54.0,+  18.5,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       218,2021/04/23 16:32:22,500,+  54.9,+  18.4,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       219,2021/04/23 16:32:23,  0,+  53.8,+  18.4,+  18.6,+  18.4,LLLLLLLLLL,LLLL
       220,2021/04/23 16:32:23,500,+  53.0,+  18.5,+  18.5,+  18.4,LLLLLLLLLL,LLLL
       221,2021/04/23 16:32:24,  0,+  52.5,+  18.5,+  18.6,+  18.4,LLLLLLLLLL,LLLL
