Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,9950      
Trigger,0         
Start time,2021-03-31,13:35:33
End time,2021-03-31,14:58:28
Trigger time,2021-03-31,13:35:33
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,0,17,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
        25,2021/03/31 13:35:45,  0,+  22.5,+  22.0,+  22.7,+  23.4,+  26.7,+  23.8,+  28.3,+  33.4,LLLLLLLLLL,LLLL
        26,2021/03/31 13:35:45,500,+  22.5,+  22.2,+  22.9,+  23.3,+  27.2,+  24.0,+  28.3,+  33.9,LLLLLLLLLL,LLLL
        27,2021/03/31 13:35:46,  0,+  22.6,+  21.8,+  22.6,+  23.0,+  27.3,+  24.3,+  28.7,+  34.8,LLLLLLLLLL,LLLL
        28,2021/03/31 13:35:46,500,+  22.5,+  21.8,+  22.7,+  23.3,+  27.7,+  24.4,+  29.0,+  35.2,LLLLLLLLLL,LLLL
        29,2021/03/31 13:35:47,  0,+  22.6,+  22.0,+  22.5,+  23.2,+  28.1,+  24.6,+  29.2,+  34.7,LLLLLLLLLL,LLLL
        30,2021/03/31 13:35:47,500,+  22.3,+  22.3,+  22.9,+  23.3,+  28.1,+  24.7,+  29.6,+  36.0,LLLLLLLLLL,LLLL
        31,2021/03/31 13:35:48,  0,+  22.8,+  22.0,+  22.7,+  23.1,+  28.3,+  25.1,+  29.8,+  36.5,LLLLLLLLLL,LLLL
        32,2021/03/31 13:35:48,500,+  22.5,+  21.3,+  22.2,+  23.4,+  29.0,+  25.2,+  30.1,+  37.0,LLLLLLLLLL,LLLL
        33,2021/03/31 13:35:49,  0,+  22.1,+  22.1,+  22.2,+  24.3,+  28.8,+  25.6,+  30.5,+  38.5,LLLLLLLLLL,LLLL
        34,2021/03/31 13:35:49,500,+  22.1,+  21.4,+  22.2,+  23.0,+  29.8,+  25.6,+  30.5,+  37.5,LLLLLLLLLL,LLLL
        35,2021/03/31 13:35:50,  0,+  22.5,+  21.8,+  22.5,+  23.1,+  29.8,+  25.7,+  30.8,+  38.2,LLLLLLLLLL,LLLL
        36,2021/03/31 13:35:50,500,+  22.3,+  21.3,+  22.3,+  22.3,+  29.9,+  25.9,+  31.3,+  40.0,LLLLLLLLLL,LLLL
        37,2021/03/31 13:35:51,  0,+  22.3,+  21.2,+  22.3,+  23.1,+  30.8,+  26.1,+  31.1,+  39.4,LLLLLLLLLL,LLLL
        38,2021/03/31 13:35:51,500,+  22.1,+  21.4,+  22.7,+  23.1,+  30.9,+  26.2,+  31.4,+  39.0,LLLLLLLLLL,LLLL
        39,2021/03/31 13:35:52,  0,+  22.1,+  22.0,+  22.7,+  23.4,+  31.0,+  26.3,+  31.6,+  40.3,LLLLLLLLLL,LLLL
        40,2021/03/31 13:35:52,500,+  23.1,+  20.9,+  22.3,+  22.9,+  29.6,+  27.3,+  31.7,+  39.0,LLLLLLLLLL,LLLL
        41,2021/03/31 13:35:53,  0,+  21.7,+  23.1,+  22.3,+  23.4,+  31.4,+  26.9,+  32.0,+  41.1,LLLLLLLLLL,LLLL
        42,2021/03/31 13:35:53,500,+  22.6,+  21.3,+  22.4,+  23.4,+  31.4,+  27.0,+  32.3,+  41.1,LLLLLLLLLL,LLLL
        43,2021/03/31 13:35:54,  0,+  22.3,+  21.3,+  22.3,+  23.6,+  33.9,+  27.1,+  31.2,+  40.6,LLLLLLLLLL,LLLL
        44,2021/03/31 13:35:54,500,+  23.9,+  21.0,+  20.6,+  23.8,+  34.6,+  26.9,+  32.7,+  44.9,LLLLLLLLLL,LLLL
        45,2021/03/31 13:35:55,  0,+  21.7,+  21.3,+  22.0,+  23.4,+  31.7,+  27.2,+  32.3,+  41.3,LLLLLLLLLL,LLLL
        46,2021/03/31 13:35:55,500,+  22.8,+  21.3,+  21.8,+  23.1,+  33.1,+  27.6,+  32.9,+  44.8,LLLLLLLLLL,LLLL
        47,2021/03/31 13:35:56,  0,+  21.2,+  21.5,+  21.5,+  23.1,+  34.5,+  27.7,+  33.2,+  39.4,LLLLLLLLLL,LLLL
        48,2021/03/31 13:35:56,500,+  22.0,+  19.7,+  24.9,+  24.5,+  31.3,+  28.4,+  32.8,+  43.2,LLLLLLLLLL,LLLL
        49,2021/03/31 13:35:57,  0,+  22.4,+  20.3,+  21.6,+  23.4,+  33.6,+  28.0,+  33.5,+  43.2,LLLLLLLLLL,LLLL
        50,2021/03/31 13:35:57,500,+  22.0,+  22.2,+  24.7,+  23.8,+  33.2,+  28.8,+  33.8,+  38.6,LLLLLLLLLL,LLLL
        51,2021/03/31 13:35:58,  0,+  21.4,+  21.1,+  22.3,+  23.6,+  35.5,+  28.1,+  34.2,+  42.5,LLLLLLLLLL,LLLL
        52,2021/03/31 13:35:58,500,+  22.6,+  22.1,+  22.8,+  23.9,+  33.7,+  28.8,+  33.9,+  43.5,LLLLLLLLLL,LLLL
        53,2021/03/31 13:35:59,  0,+  22.4,+  20.9,+  22.9,+  22.5,+  34.3,+  29.0,+  34.1,+  44.1,LLLLLLLLLL,LLLL
        54,2021/03/31 13:35:59,500,+  22.4,+  23.1,+  23.8,+  22.7,+  34.4,+  28.8,+  34.5,+  47.0,LLLLLLLLLL,LLLL
        55,2021/03/31 13:36:00,  0,+  21.7,+  22.3,+  20.5,+  24.0,+  37.4,+  29.4,+  34.6,+  42.0,LLLLLLLLLL,LLLL
        56,2021/03/31 13:36:00,500,+  21.2,+  22.5,+  23.8,+  22.9,+  35.2,+  29.5,+  34.2,+  44.6,LLLLLLLLLL,LLLL
        57,2021/03/31 13:36:01,  0,+  22.4,+  22.3,+  22.3,+  22.2,+  38.1,+  28.8,+  35.5,+  44.9,LLLLLLLLLL,LLLL
        58,2021/03/31 13:36:01,500,+  23.4,+  21.8,+  22.3,+  23.4,+  36.0,+  29.6,+  34.9,+  43.9,LLLLLLLLLL,LLLL
        59,2021/03/31 13:36:02,  0,+  22.6,+  21.1,+  24.9,+  22.8,+  36.3,+  29.8,+  34.6,+  45.1,LLLLLLLLLL,LLLL
        60,2021/03/31 13:36:02,500,+  23.4,+  23.9,+  21.6,+  20.8,+  36.9,+  30.2,+  34.9,+  44.6,LLLLLLLLLL,LLLL
        61,2021/03/31 13:36:03,  0,+  22.8,+  21.2,+  23.1,+  23.3,+  36.3,+  30.0,+  35.5,+  47.1,LLLLLLLLLL,LLLL
        62,2021/03/31 13:36:03,500,+  23.7,+  22.0,+  21.5,+  21.8,+  35.2,+  30.5,+  36.2,+  43.7,LLLLLLLLLL,LLLL
        63,2021/03/31 13:36:04,  0,+  24.1,+  20.8,+  20.6,+  22.8,+  36.3,+  30.1,+  35.6,+  50.2,LLLLLLLLLL,LLLL
        64,2021/03/31 13:36:04,500,+  19.9,+  22.3,+  22.0,+  23.1,+  37.2,+  30.5,+  35.7,+  47.4,LLLLLLLLLL,LLLL
        65,2021/03/31 13:36:05,  0,+  23.2,+  22.3,+  22.6,+  23.4,+  38.5,+  30.8,+  36.3,+  48.1,LLLLLLLLLL,LLLL
        66,2021/03/31 13:36:05,500,+  25.8,+  21.3,+  22.3,+  20.7,+  37.5,+  31.0,+  36.3,+  47.9,LLLLLLLLLL,LLLL
        67,2021/03/31 13:36:06,  0,+  24.2,+  20.5,+  22.8,+  23.3,+  38.0,+  31.0,+  36.2,+  47.4,LLLLLLLLLL,LLLL
        68,2021/03/31 13:36:06,500,+  22.3,+  21.7,+  22.1,+  22.5,+  39.0,+  30.8,+  35.9,+  46.4,LLLLLLLLLL,LLLL
        69,2021/03/31 13:36:07,  0,+  22.5,+  22.2,+  21.0,+  24.3,+  39.9,+  31.2,+  35.6,+  50.9,LLLLLLLLLL,LLLL
        70,2021/03/31 13:36:07,500,+  22.4,+  21.6,+  22.0,+  24.3,+  39.3,+  31.2,+  36.5,+  48.4,LLLLLLLLLL,LLLL
        71,2021/03/31 13:36:08,  0,+  22.6,+  21.7,+  22.0,+  22.8,+  39.7,+  31.4,+  36.6,+  49.2,LLLLLLLLLL,LLLL
        72,2021/03/31 13:36:08,500,+  22.4,+  18.9,+  24.3,+  23.3,+  39.4,+  31.0,+  36.8,+  48.1,LLLLLLLLLL,LLLL
        73,2021/03/31 13:36:09,  0,+  21.7,+  20.7,+  22.0,+  23.2,+  40.5,+  31.5,+  36.9,+  49.3,LLLLLLLLLL,LLLL
        74,2021/03/31 13:36:09,500,+  22.1,+  22.0,+  23.0,+  23.0,+  40.3,+  31.7,+  37.1,+  48.2,LLLLLLLLLL,LLLL
        75,2021/03/31 13:36:10,  0,+  20.0,+  22.2,+  23.1,+  23.5,+  41.2,+  31.3,+  37.5,+  49.0,LLLLLLLLLL,LLLL
        76,2021/03/31 13:36:10,500,+  23.1,+  20.8,+  22.5,+  23.3,+  39.9,+  31.8,+  37.2,+  51.1,LLLLLLLLLL,LLLL
        77,2021/03/31 13:36:11,  0,+  22.1,+  21.2,+  22.4,+  23.3,+  40.3,+  32.0,+  37.8,+  49.2,LLLLLLLLLL,LLLL
        78,2021/03/31 13:36:11,500,+  22.6,+  20.8,+  23.3,+  22.8,+  39.5,+  31.9,+  37.9,+  50.0,LLLLLLLLLL,LLLL
        79,2021/03/31 13:36:12,  0,+  21.8,+  21.9,+  22.4,+  23.1,+  40.8,+  32.5,+  37.7,+  51.1,LLLLLLLLLL,LLLL
        80,2021/03/31 13:36:12,500,+  22.5,+  21.8,+  23.0,+  23.1,+  41.2,+  32.3,+  37.2,+  53.7,LLLLLLLLLL,LLLL
        81,2021/03/31 13:36:13,  0,+  23.1,+  20.7,+  22.9,+  20.8,+  41.4,+  32.8,+  38.2,+  52.0,LLLLLLLLLL,LLLL
        82,2021/03/31 13:36:13,500,+  21.8,+  22.0,+  22.5,+  23.2,+  41.9,+  32.7,+  38.2,+  51.9,LLLLLLLLLL,LLLL
        83,2021/03/31 13:36:14,  0,+  22.1,+  20.9,+  22.4,+  22.8,+  42.2,+  32.9,+  38.3,+  52.9,LLLLLLLLLL,LLLL
        84,2021/03/31 13:36:14,500,+  22.5,+  20.7,+  21.6,+  23.1,+  42.6,+  32.9,+  38.0,+  53.7,LLLLLLLLLL,LLLL
        85,2021/03/31 13:36:15,  0,+  22.1,+  22.1,+  22.6,+  23.3,+  42.6,+  33.1,+  38.3,+  52.6,LLLLLLLLLL,LLLL
        86,2021/03/31 13:36:15,500,+  22.8,+  21.6,+  22.0,+  24.1,+  42.8,+  33.3,+  39.1,+  53.3,LLLLLLLLLL,LLLL
        87,2021/03/31 13:36:16,  0,+  23.2,+  24.2,+  23.8,+  21.6,+  42.0,+  33.7,+  39.0,+  53.8,LLLLLLLLLL,LLLL
        88,2021/03/31 13:36:16,500,+  23.3,+  22.2,+  22.8,+  23.2,+  43.5,+  33.6,+  39.0,+  53.1,LLLLLLLLLL,LLLL
        89,2021/03/31 13:36:17,  0,+  22.1,+  21.8,+  22.8,+  23.4,+  44.0,+  33.6,+  39.1,+  53.1,LLLLLLLLLL,LLLL
        90,2021/03/31 13:36:17,500,+  21.8,+  23.9,+  21.2,+  23.2,+  43.5,+  33.7,+  39.5,+  54.0,LLLLLLLLLL,LLLL
        91,2021/03/31 13:36:18,  0,+  22.8,+  21.8,+  22.3,+  23.3,+  44.0,+  33.9,+  39.3,+  53.9,LLLLLLLLLL,LLLL
        92,2021/03/31 13:36:18,500,+  22.3,+  21.5,+  22.4,+  23.0,+  43.9,+  33.8,+  39.4,+  55.4,LLLLLLLLLL,LLLL
        93,2021/03/31 13:36:19,  0,+  24.2,+  21.0,+  21.5,+  24.2,+  44.0,+  33.8,+  39.6,+  53.4,LLLLLLLLLL,LLLL
        94,2021/03/31 13:36:19,500,+  22.6,+  21.8,+  23.1,+  23.2,+  44.7,+  34.3,+  39.7,+  54.8,LLLLLLLLLL,LLLL
        95,2021/03/31 13:36:20,  0,+  22.8,+  22.0,+  22.6,+  23.3,+  45.3,+  34.4,+  39.8,+  54.8,LLLLLLLLLL,LLLL
        96,2021/03/31 13:36:20,500,+  23.3,+  21.3,+  24.6,+  21.6,+  45.3,+  34.4,+  40.0,+  54.6,LLLLLLLLLL,LLLL
        97,2021/03/31 13:36:21,  0,+  22.9,+  22.1,+  22.6,+  23.1,+  45.0,+  34.7,+  40.0,+  55.1,LLLLLLLLLL,LLLL
        98,2021/03/31 13:36:21,500,+  22.5,+  21.8,+  22.8,+  23.3,+  45.5,+  34.6,+  40.1,+  56.0,LLLLLLLLLL,LLLL
        99,2021/03/31 13:36:22,  0,+  22.2,+  21.6,+  22.6,+  23.6,+  44.1,+  34.8,+  40.3,+  55.5,LLLLLLLLLL,LLLL
       100,2021/03/31 13:36:22,500,+  22.2,+  21.7,+  22.3,+  23.1,+  46.6,+  35.0,+  40.1,+  55.1,LLLLLLLLLL,LLLL
       101,2021/03/31 13:36:23,  0,+  23.0,+  21.9,+  22.5,+  23.1,+  46.5,+  35.0,+  40.4,+  55.8,LLLLLLLLLL,LLLL
       102,2021/03/31 13:36:23,500,+  22.5,+  22.1,+  22.0,+  22.8,+  47.3,+  35.4,+  40.4,+  56.2,LLLLLLLLLL,LLLL
       103,2021/03/31 13:36:24,  0,+  23.5,+  21.4,+  23.2,+  23.8,+  46.7,+  35.3,+  40.4,+  55.8,LLLLLLLLLL,LLLL
       104,2021/03/31 13:36:24,500,+  22.6,+  21.2,+  22.6,+  23.1,+  47.0,+  35.4,+  40.5,+  56.6,LLLLLLLLLL,LLLL
       105,2021/03/31 13:36:25,  0,+  22.5,+  22.0,+  22.5,+  23.2,+  47.1,+  35.3,+  40.7,+  56.7,LLLLLLLLLL,LLLL
       106,2021/03/31 13:36:25,500,+  22.0,+  22.5,+  22.6,+  23.4,+  46.7,+  35.6,+  40.9,+  54.0,LLLLLLLLLL,LLLL
       107,2021/03/31 13:36:26,  0,+  22.3,+  21.7,+  23.0,+  22.4,+  47.0,+  35.5,+  40.9,+  57.7,LLLLLLLLLL,LLLL
       108,2021/03/31 13:36:26,500,+  22.8,+  21.7,+  22.3,+  23.1,+  47.7,+  35.8,+  41.1,+  57.5,LLLLLLLLLL,LLLL
       109,2021/03/31 13:36:27,  0,+  22.5,+  21.5,+  22.7,+  22.8,+  47.7,+  35.9,+  41.2,+  57.2,LLLLLLLLLL,LLLL
       110,2021/03/31 13:36:27,500,+  21.3,+  22.0,+  22.5,+  22.9,+  47.3,+  36.0,+  41.0,+  58.6,LLLLLLLLLL,LLLL
       111,2021/03/31 13:36:28,  0,+  22.2,+  21.7,+  22.5,+  23.0,+  48.1,+  36.0,+  41.1,+  58.1,LLLLLLLLLL,LLLL
       112,2021/03/31 13:36:28,500,+  22.3,+  21.8,+  22.3,+  23.1,+  48.5,+  36.2,+  41.4,+  58.1,LLLLLLLLLL,LLLL
       113,2021/03/31 13:36:29,  0,+  22.8,+  22.5,+  22.8,+  23.0,+  48.9,+  36.3,+  41.4,+  57.9,LLLLLLLLLL,LLLL
       114,2021/03/31 13:36:29,500,+  22.5,+  21.9,+  22.3,+  23.6,+  49.0,+  36.5,+  41.7,+  58.5,LLLLLLLLLL,LLLL
       115,2021/03/31 13:36:30,  0,+  22.5,+  21.9,+  22.5,+  23.1,+  49.0,+  36.5,+  41.7,+  58.6,LLLLLLLLLL,LLLL
       116,2021/03/31 13:36:30,500,+  22.5,+  21.5,+  22.3,+  23.4,+  49.5,+  36.8,+  41.7,+  58.5,LLLLLLLLLL,LLLL
       117,2021/03/31 13:36:31,  0,+  22.3,+  21.5,+  22.3,+  23.1,+  49.6,+  36.8,+  42.0,+  59.2,LLLLLLLLLL,LLLL
       118,2021/03/31 13:36:31,500,+  22.3,+  21.7,+  22.6,+  23.0,+  49.7,+  36.8,+  42.0,+  59.2,LLLLLLLLLL,LLLL
       119,2021/03/31 13:36:32,  0,+  22.5,+  21.9,+  22.3,+  23.4,+  49.8,+  36.8,+  42.2,+  59.0,LLLLLLLLLL,LLLL
       120,2021/03/31 13:36:32,500,+  22.6,+  21.6,+  22.1,+  23.0,+  49.9,+  36.9,+  42.3,+  59.7,LLLLLLLLLL,LLLL
       121,2021/03/31 13:36:33,  0,+  22.3,+  21.7,+  22.5,+  23.1,+  50.4,+  37.1,+  42.3,+  59.9,LLLLLLLLLL,LLLL
       122,2021/03/31 13:36:33,500,+  22.6,+  21.8,+  22.4,+  23.4,+  51.0,+  37.3,+  42.5,+  60.0,LLLLLLLLLL,LLLL
       123,2021/03/31 13:36:34,  0,+  22.8,+  21.6,+  23.0,+  23.8,+  51.1,+  37.5,+  42.7,+  60.9,LLLLLLLLLL,LLLL
       124,2021/03/31 13:36:34,500,+  22.7,+  21.9,+  22.6,+  23.4,+  51.0,+  37.5,+  42.7,+  60.5,LLLLLLLLLL,LLLL
       125,2021/03/31 13:36:35,  0,+  22.5,+  22.1,+  22.8,+  23.4,+  51.3,+  37.6,+  42.8,+  60.9,LLLLLLLLLL,LLLL
       126,2021/03/31 13:36:35,500,+  22.6,+  21.3,+  22.8,+  23.0,+  51.9,+  37.6,+  42.9,+  60.3,LLLLLLLLLL,LLLL
       127,2021/03/31 13:36:36,  0,+  22.5,+  22.0,+  22.7,+  23.1,+  51.6,+  37.6,+  43.0,+  61.2,LLLLLLLLLL,LLLL
       128,2021/03/31 13:36:36,500,+  22.5,+  22.1,+  22.5,+  23.4,+  51.9,+  37.7,+  43.1,+  59.9,LLLLLLLLLL,LLLL
       129,2021/03/31 13:36:37,  0,+  22.1,+  22.8,+  23.1,+  22.8,+  51.7,+  37.9,+  43.2,+  61.4,LLLLLLLLLL,LLLL
       130,2021/03/31 13:36:37,500,+  22.8,+  21.8,+  22.8,+  23.1,+  52.2,+  37.9,+  43.2,+  61.5,LLLLLLLLLL,LLLL
       131,2021/03/31 13:36:38,  0,+  22.6,+  21.8,+  22.6,+  23.3,+  52.3,+  38.0,+  43.2,+  62.0,LLLLLLLLLL,LLLL
       132,2021/03/31 13:36:38,500,+  22.8,+  22.1,+  22.7,+  23.3,+  52.4,+  38.1,+  43.6,+  61.6,LLLLLLLLLL,LLLL
       133,2021/03/31 13:36:39,  0,+  22.7,+  22.0,+  22.8,+  23.4,+  52.8,+  38.2,+  43.5,+  62.0,LLLLLLLLLL,LLLL
       134,2021/03/31 13:36:39,500,+  22.5,+  21.9,+  22.7,+  23.1,+  53.0,+  38.3,+  43.7,+  62.4,LLLLLLLLLL,LLLL
       135,2021/03/31 13:36:40,  0,+  22.6,+  22.1,+  22.6,+  23.6,+  53.3,+  38.4,+  43.7,+  62.4,LLLLLLLLLL,LLLL
       136,2021/03/31 13:36:40,500,+  22.5,+  21.9,+  22.7,+  23.6,+  53.6,+  38.6,+  43.8,+  62.5,LLLLLLLLLL,LLLL
       137,2021/03/31 13:36:41,  0,+  22.3,+  21.7,+  22.8,+  23.9,+  53.7,+  38.5,+  44.0,+  62.4,LLLLLLLLLL,LLLL
       138,2021/03/31 13:36:41,500,+  22.6,+  22.0,+  22.5,+  23.4,+  54.0,+  38.7,+  44.0,+  63.1,LLLLLLLLLL,LLLL
       139,2021/03/31 13:36:42,  0,+  22.6,+  22.1,+  22.7,+  23.4,+  54.3,+  38.9,+  44.2,+  63.3,LLLLLLLLLL,LLLL
       140,2021/03/31 13:36:42,500,+  22.5,+  22.5,+  22.8,+  23.4,+  54.5,+  39.0,+  44.3,+  63.9,LLLLLLLLLL,LLLL
       141,2021/03/31 13:36:43,  0,+  22.3,+  21.9,+  22.8,+  23.4,+  54.5,+  39.0,+  44.3,+  63.5,LLLLLLLLLL,LLLL
       142,2021/03/31 13:36:43,500,+  22.5,+  22.0,+  22.8,+  23.6,+  54.6,+  39.1,+  44.5,+  63.9,LLLLLLLLLL,LLLL
       143,2021/03/31 13:36:44,  0,+  22.7,+  22.0,+  22.8,+  23.6,+  55.1,+  39.1,+  44.5,+  64.2,LLLLLLLLLL,LLLL
       144,2021/03/31 13:36:44,500,+  22.5,+  22.0,+  22.8,+  23.8,+  55.1,+  39.4,+  44.7,+  64.1,LLLLLLLLLL,LLLL
       145,2021/03/31 13:36:45,  0,+  22.5,+  22.1,+  22.8,+  23.4,+  55.4,+  39.4,+  44.7,+  64.1,LLLLLLLLLL,LLLL
       146,2021/03/31 13:36:45,500,+  22.8,+  22.1,+  22.8,+  23.7,+  55.6,+  39.7,+  44.8,+  64.4,LLLLLLLLLL,LLLL
       147,2021/03/31 13:36:46,  0,+  22.5,+  22.2,+  23.0,+  23.5,+  56.0,+  39.8,+  44.9,+  64.6,LLLLLLLLLL,LLLL
       148,2021/03/31 13:36:46,500,+  22.7,+  22.2,+  22.9,+  23.1,+  56.2,+  39.8,+  45.0,+  64.6,LLLLLLLLLL,LLLL
       149,2021/03/31 13:36:47,  0,+  22.7,+  22.1,+  22.7,+  23.6,+  56.2,+  40.0,+  45.1,+  64.9,LLLLLLLLLL,LLLL
       150,2021/03/31 13:36:47,500,+  22.5,+  22.2,+  23.0,+  23.7,+  56.5,+  40.0,+  45.2,+  65.1,LLLLLLLLLL,LLLL
       151,2021/03/31 13:36:48,  0,+  23.0,+  21.8,+  22.8,+  23.4,+  56.5,+  40.1,+  45.4,+  65.4,LLLLLLLLLL,LLLL
