Vendor,GRAPHTEC Corporation
Model,"GL240"
Version,"Ver1.51"
MaxChannel,10
GSStartCH,10
WLStartCH,0
MaxLogicChannel,0
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,100ms
Total Data Points,18274     
Trigger,0         
Start time,2021-03-22,13:45:32
End time,2021-03-22,14:16:00
Trigger time,2021-03-22,13:45:32
AMP settings
CH,SignalName,Amp,Input,Range,Temperature Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH1," CH 1",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,28,5,6,0
CH2," CH 2",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,0,13,23,0
CH3," CH 3",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,9,22,8,0
CH4," CH 4",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,21,0,21,0
CH5," CH 5",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,28,16,2,0
CH6," CH 6",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,5,23,30,0
CH7," CH 7",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,30,23,1,0
CH8," CH 8",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,28,0,17,0
CH9," CH 9",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,17,11,7,0
CH10," CH10",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,19,27,0,0
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
13,2021-03-22 13:45:33,200,+13.7,+13.4,+13.6,+14.0,+13.6,+13.7,+13.1,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
14,2021-03-22 13:45:33,300,+13.7,+13.5,+13.6,+14.0,+13.6,+13.8,+13.1,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
15,2021-03-22 13:45:33,400,+13.7,+13.5,+13.6,+14.1,+13.6,+13.6,+13.1,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
16,2021-03-22 13:45:33,500,+13.6,+13.4,+13.6,+14.0,+13.6,+13.6,+13.1,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
17,2021-03-22 13:45:33,600,+13.6,+13.5,+13.6,+14.0,+13.6,+13.7,+13.1,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
18,2021-03-22 13:45:33,700,+13.6,+13.4,+13.6,+14.1,+13.6,+13.7,+13.1,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
19,2021-03-22 13:45:33,800,+13.8,+13.5,+13.7,+14.0,+13.5,+13.8,+13.1,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
20,2021-03-22 13:45:33,900,+13.7,+13.5,+13.7,+14.1,+13.6,+13.7,+13.1,+13.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
21,2021-03-22 13:45:34,0,+13.6,+13.5,+13.5,+14.0,+13.8,+13.6,+13.1,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
22,2021-03-22 13:45:34,100,+13.6,+13.5,+13.6,+14.0,+13.6,+13.7,+13.1,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
23,2021-03-22 13:45:34,200,+13.6,+13.5,+13.6,+14.1,+13.6,+13.8,+13.1,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
24,2021-03-22 13:45:34,300,+13.6,+13.5,+13.6,+14.0,+13.6,+13.8,+13.1,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
25,2021-03-22 13:45:34,400,+13.6,+13.6,+13.6,+14.3,+13.6,+13.7,+13.0,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
26,2021-03-22 13:45:34,500,+13.6,+13.5,+13.6,+14.0,+13.5,+13.8,+13.1,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
27,2021-03-22 13:45:34,600,+13.6,+13.5,+13.6,+14.0,+13.5,+13.7,+13.0,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
28,2021-03-22 13:45:34,700,+13.6,+13.5,+13.6,+14.0,+13.5,+13.7,+13.1,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
29,2021-03-22 13:45:34,800,+13.5,+13.5,+13.7,+14.0,+13.6,+13.8,+13.0,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
30,2021-03-22 13:45:34,900,+13.6,+13.5,+13.6,+14.1,+13.5,+13.8,+13.0,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
31,2021-03-22 13:45:35,0,+13.6,+13.4,+13.6,+14.0,+13.7,+13.7,+13.0,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
32,2021-03-22 13:45:35,100,+13.6,+13.5,+13.5,+14.0,+13.6,+13.7,+13.0,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
33,2021-03-22 13:45:35,200,+13.6,+13.5,+13.6,+14.0,+13.5,+13.7,+13.0,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
34,2021-03-22 13:45:35,300,+13.6,+13.5,+13.5,+14.1,+13.5,+13.8,+12.9,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
35,2021-03-22 13:45:35,400,+13.6,+13.4,+13.5,+14.0,+13.5,+13.8,+13.0,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
36,2021-03-22 13:45:35,500,+13.6,+13.5,+13.6,+14.0,+13.5,+13.8,+13.0,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
37,2021-03-22 13:45:35,600,+13.6,+13.5,+13.5,+14.0,+13.6,+13.8,+13.0,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
38,2021-03-22 13:45:35,700,+13.6,+13.5,+13.5,+14.0,+13.6,+13.8,+13.0,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
39,2021-03-22 13:45:35,800,+13.5,+13.5,+13.6,+14.0,+13.5,+14.0,+13.0,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
40,2021-03-22 13:45:35,900,+13.5,+13.5,+13.6,+14.0,+13.5,+13.8,+13.0,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
41,2021-03-22 13:45:36,0,+13.5,+13.5,+13.5,+14.0,+13.6,+13.8,+13.0,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
42,2021-03-22 13:45:36,100,+13.5,+13.4,+13.5,+14.0,+13.5,+13.8,+13.0,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
43,2021-03-22 13:45:36,200,+13.5,+13.5,+13.5,+14.1,+13.5,+13.8,+12.9,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
44,2021-03-22 13:45:36,300,+13.5,+13.6,+13.5,+14.0,+13.4,+13.8,+12.9,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
45,2021-03-22 13:45:36,400,+13.5,+13.5,+13.5,+14.0,+13.5,+13.8,+12.9,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
46,2021-03-22 13:45:36,500,+13.4,+13.4,+13.5,+14.0,+13.4,+13.8,+12.9,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
47,2021-03-22 13:45:36,600,+13.5,+13.5,+13.5,+14.0,+13.4,+13.8,+12.9,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
48,2021-03-22 13:45:36,700,+13.4,+13.5,+13.5,+14.0,+13.4,+13.8,+12.8,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
49,2021-03-22 13:45:36,800,+13.3,+13.5,+13.5,+14.1,+13.5,+13.8,+12.9,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
50,2021-03-22 13:45:36,900,+13.3,+13.5,+13.5,+14.0,+13.5,+13.8,+12.8,+13.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
51,2021-03-22 13:45:37,0,+13.3,+13.5,+13.3,+14.0,+13.6,+13.8,+12.8,+13.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
52,2021-03-22 13:45:37,100,+13.3,+13.5,+13.5,+14.0,+13.4,+13.8,+12.8,+13.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
53,2021-03-22 13:45:37,200,+13.3,+13.5,+13.4,+14.0,+13.4,+13.8,+12.8,+13.9,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
54,2021-03-22 13:45:37,300,+13.3,+13.5,+13.4,+14.0,+13.5,+13.8,+12.8,+13.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
55,2021-03-22 13:45:37,400,+13.3,+13.5,+13.3,+14.0,+13.4,+13.8,+12.8,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
56,2021-03-22 13:45:37,500,+13.3,+13.5,+13.3,+14.1,+13.4,+13.8,+12.8,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
57,2021-03-22 13:45:37,600,+13.3,+13.5,+13.3,+14.0,+13.4,+13.8,+12.8,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
58,2021-03-22 13:45:37,700,+13.2,+13.6,+13.3,+14.0,+13.4,+13.8,+12.8,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
59,2021-03-22 13:45:37,800,+13.3,+13.5,+13.3,+14.0,+13.4,+13.8,+12.7,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
60,2021-03-22 13:45:37,900,+13.2,+13.5,+13.3,+13.9,+13.4,+13.8,+12.8,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
61,2021-03-22 13:45:38,0,+13.2,+13.5,+13.3,+14.2,+13.5,+13.8,+12.8,+14.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
62,2021-03-22 13:45:38,100,+13.0,+13.6,+13.3,+14.0,+13.4,+13.8,+12.8,+14.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
63,2021-03-22 13:45:38,200,+13.1,+13.5,+13.3,+14.0,+13.4,+13.8,+12.8,+14.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
64,2021-03-22 13:45:38,300,+13.1,+13.6,+13.3,+14.1,+13.4,+13.8,+12.7,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
65,2021-03-22 13:45:38,400,+13.1,+13.6,+13.2,+14.0,+13.4,+13.9,+12.8,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
66,2021-03-22 13:45:38,500,+13.1,+13.5,+13.3,+14.0,+13.4,+13.9,+12.7,+14.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
67,2021-03-22 13:45:38,600,+13.1,+13.6,+13.2,+14.1,+13.4,+13.8,+12.8,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
68,2021-03-22 13:45:38,700,+13.0,+13.6,+13.1,+14.0,+13.4,+13.8,+12.8,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
69,2021-03-22 13:45:38,800,+13.0,+13.6,+13.1,+14.1,+13.4,+13.8,+12.7,+14.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
70,2021-03-22 13:45:38,900,+13.0,+13.6,+13.2,+14.0,+13.4,+13.8,+12.8,+13.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
71,2021-03-22 13:45:39,0,+13.0,+13.6,+13.3,+14.0,+13.5,+13.9,+12.8,+13.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
72,2021-03-22 13:45:39,100,+12.8,+13.5,+13.1,+14.1,+13.3,+13.9,+12.8,+13.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
73,2021-03-22 13:45:39,200,+12.9,+13.6,+13.1,+14.0,+13.4,+13.8,+12.8,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
74,2021-03-22 13:45:39,300,+12.8,+13.6,+13.1,+14.0,+13.4,+13.9,+12.8,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
75,2021-03-22 13:45:39,400,+12.9,+13.6,+13.1,+14.0,+13.4,+13.9,+12.8,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
76,2021-03-22 13:45:39,500,+13.0,+13.6,+13.1,+14.0,+13.4,+13.9,+12.8,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
77,2021-03-22 13:45:39,600,+12.8,+13.6,+13.2,+14.2,+13.4,+13.9,+12.8,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
78,2021-03-22 13:45:39,700,+12.6,+13.6,+13.1,+14.0,+13.3,+13.9,+12.8,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
79,2021-03-22 13:45:39,800,+12.7,+13.6,+13.0,+14.1,+13.3,+13.9,+12.8,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
80,2021-03-22 13:45:39,900,+12.7,+13.6,+13.0,+14.0,+13.4,+14.0,+12.8,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
81,2021-03-22 13:45:40,0,+12.8,+13.6,+13.0,+14.2,+13.5,+13.9,+12.9,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
82,2021-03-22 13:45:40,100,+12.6,+13.6,+13.0,+14.1,+13.4,+14.1,+12.9,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
83,2021-03-22 13:45:40,200,+12.6,+13.6,+13.0,+14.0,+13.4,+14.0,+12.9,+13.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
84,2021-03-22 13:45:40,300,+12.7,+13.6,+13.0,+14.1,+13.4,+13.9,+12.9,+14.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
85,2021-03-22 13:45:40,400,+12.7,+13.6,+13.0,+14.1,+13.3,+14.1,+12.9,+14.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
86,2021-03-22 13:45:40,500,+12.6,+13.6,+13.1,+14.1,+13.3,+13.9,+12.9,+15.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
87,2021-03-22 13:45:40,600,+12.5,+13.5,+13.0,+14.0,+13.3,+13.9,+12.9,+15.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
88,2021-03-22 13:45:40,700,+12.6,+13.6,+13.0,+14.1,+13.3,+13.9,+12.9,+16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
89,2021-03-22 13:45:40,800,+12.5,+13.6,+13.0,+14.0,+13.4,+14.0,+13.0,+16.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
90,2021-03-22 13:45:40,900,+12.5,+13.6,+13.0,+13.9,+13.4,+14.0,+13.0,+12.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
91,2021-03-22 13:45:41,0,+12.5,+13.8,+12.9,+14.0,+13.5,+14.1,+13.0,+12.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
92,2021-03-22 13:45:41,100,+12.5,+13.6,+13.0,+14.0,+13.3,+14.0,+12.9,+12.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
93,2021-03-22 13:45:41,200,+12.5,+13.6,+12.9,+14.1,+13.3,+13.9,+13.0,+12.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
94,2021-03-22 13:45:41,300,+12.3,+13.6,+12.8,+14.2,+13.3,+14.0,+12.9,+12.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
95,2021-03-22 13:45:41,400,+12.3,+13.6,+13.0,+14.0,+13.4,+13.9,+13.1,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
96,2021-03-22 13:45:41,500,+12.3,+13.6,+12.8,+14.0,+13.3,+14.1,+13.0,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
97,2021-03-22 13:45:41,600,+12.3,+13.6,+12.8,+14.1,+13.3,+13.8,+13.0,+12.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
98,2021-03-22 13:45:41,700,+12.3,+13.6,+12.9,+14.2,+13.3,+13.9,+12.9,+++++++,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
99,2021-03-22 13:45:41,800,+12.3,+13.6,+12.8,+14.2,+13.3,+13.8,+13.0,+19.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
100,2021-03-22 13:45:41,900,+12.2,+13.6,+12.8,+13.9,+13.3,+14.0,+13.0,+31.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
101,2021-03-22 13:45:42,0,+12.2,+13.6,+12.9,+14.1,+13.4,+14.0,+13.0,+13.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
102,2021-03-22 13:45:42,100,+12.3,+13.6,+12.9,+14.3,+13.4,+13.9,+13.0,+13.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
103,2021-03-22 13:45:42,200,+12.2,+13.6,+12.9,+14.3,+13.3,+13.9,+13.0,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
104,2021-03-22 13:45:42,300,+12.2,+13.6,+12.8,+14.3,+13.3,+14.0,+13.1,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
105,2021-03-22 13:45:42,400,+12.2,+13.6,+12.9,+14.1,+13.3,+14.0,+13.1,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
106,2021-03-22 13:45:42,500,+12.3,+13.7,+13.0,+14.2,+13.3,+14.0,+13.2,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
107,2021-03-22 13:45:42,600,+12.2,+13.8,+12.9,+14.1,+13.3,+14.1,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
108,2021-03-22 13:45:42,700,+12.2,+13.8,+13.0,+14.1,+13.4,+14.0,+13.2,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
109,2021-03-22 13:45:42,800,+12.2,+13.6,+13.0,+14.3,+13.4,+14.1,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
110,2021-03-22 13:45:42,900,+12.3,+13.7,+13.0,+14.1,+13.4,+14.1,+13.2,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
111,2021-03-22 13:45:43,0,+12.3,+13.7,+13.0,+14.2,+13.5,+14.0,+13.3,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
112,2021-03-22 13:45:43,100,+12.3,+13.8,+13.0,+14.2,+13.4,+14.1,+13.3,+13.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
113,2021-03-22 13:45:43,200,+12.3,+13.8,+13.0,+14.3,+13.4,+14.0,+13.2,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
114,2021-03-22 13:45:43,300,+12.2,+13.7,+13.0,+14.3,+13.4,+14.0,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
115,2021-03-22 13:45:43,400,+12.5,+13.7,+13.0,+14.2,+13.4,+14.0,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
116,2021-03-22 13:45:43,500,+12.3,+13.8,+13.1,+14.1,+13.3,+14.0,+13.3,+13.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
117,2021-03-22 13:45:43,600,+12.3,+13.7,+13.0,+14.2,+13.3,+14.1,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
118,2021-03-22 13:45:43,700,+12.3,+13.8,+13.1,+14.3,+13.4,+14.0,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
119,2021-03-22 13:45:43,800,+12.3,+13.6,+13.1,+14.3,+13.4,+14.0,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
120,2021-03-22 13:45:43,900,+12.5,+13.8,+13.1,+14.3,+13.4,+14.1,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
121,2021-03-22 13:45:44,0,+12.3,+13.8,+13.1,+14.2,+13.5,+14.0,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
122,2021-03-22 13:45:44,100,+12.5,+13.8,+13.2,+14.1,+13.4,+14.1,+13.3,+13.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
123,2021-03-22 13:45:44,200,+12.5,+13.7,+13.2,+14.3,+13.4,+14.0,+13.3,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
124,2021-03-22 13:45:44,300,+12.5,+13.8,+13.1,+14.3,+13.4,+14.0,+13.3,+13.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
125,2021-03-22 13:45:44,400,+12.7,+13.7,+13.1,+14.1,+13.4,+14.0,+13.3,+13.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
126,2021-03-22 13:45:44,500,+12.5,+13.8,+13.3,+14.1,+13.4,+14.0,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
127,2021-03-22 13:45:44,600,+12.5,+13.8,+13.3,+14.0,+13.5,+14.1,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
128,2021-03-22 13:45:44,700,+12.6,+13.9,+13.3,+14.0,+13.5,+14.2,+13.4,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
129,2021-03-22 13:45:44,800,+12.7,+13.8,+13.3,+14.0,+13.4,+14.0,+13.4,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
130,2021-03-22 13:45:44,900,+12.9,+13.8,+13.3,+14.0,+13.4,+14.0,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
131,2021-03-22 13:45:45,0,+12.9,+13.8,+13.3,+13.9,+13.6,+14.1,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
132,2021-03-22 13:45:45,100,+12.8,+13.8,+13.3,+14.0,+13.5,+14.0,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
